HomeShot,AwayShot,HomeShotTartget,AwayShotTarget,HomeFouls,AwayFouls,HomeYellow,AwayYellow,HomeRed,AwayRed,Class
16.65,14.75,6.25,4.5,11.0,8.899999999999999,1.6500000000000001,1.25,0.0,0.0,0
16.65,14.25,6.25,6.0,11.0,9.45,1.6500000000000001,1.25,0.0,0.1,0
16.65,12.5,6.25,4.75,11.0,11.899999999999999,1.6500000000000001,1.65,0.0,0.15000000000000002,0
16.65,15.8,6.25,6.2,11.0,9.0,1.6500000000000001,1.65,0.0,0.1,1
16.65,11.600000000000001,6.25,4.85,11.0,12.0,1.6500000000000001,2.1,0.0,0.15000000000000002,1
17.35,13.25,6.65,4.85,9.95,11.100000000000001,1.15,1.65,0.15,0.0,0
17.35,14.25,6.65,6.0,9.95,9.45,1.15,1.25,0.15,0.1,0
17.35,12.5,6.65,4.75,9.95,11.899999999999999,1.15,1.65,0.15,0.15000000000000002,1
17.35,15.8,6.65,6.2,9.95,9.0,1.15,1.65,0.15,0.1,1
17.35,11.600000000000001,6.65,4.85,9.95,12.0,1.15,2.1,0.15,0.15000000000000002,0
19.4,13.25,7.1,4.85,9.25,11.100000000000001,0.75,1.65,0.0,0.0,0
19.4,14.75,7.1,4.5,9.25,8.899999999999999,0.75,1.25,0.0,0.0,0
19.4,12.5,7.1,4.75,9.25,11.899999999999999,0.75,1.65,0.0,0.15000000000000002,0
19.4,15.8,7.1,6.2,9.25,9.0,0.75,1.65,0.0,0.1,0
19.4,11.600000000000001,7.1,5.55,9.25,12.0,0.75,2.1,0.0,0.15000000000000002,0
17.35,13.25,6.35,4.85,9.2,11.100000000000001,0.9,1.65,0.0,0.0,0
17.35,14.75,6.35,4.5,9.2,8.899999999999999,0.9,1.25,0.0,0.0,1
17.35,14.25,6.35,6.0,9.2,9.45,0.9,1.25,0.0,0.1,1
17.35,15.8,6.35,6.2,9.2,9.0,0.9,1.65,0.0,0.1,1
17.35,11.600000000000001,6.35,4.85,9.2,12.0,0.9,2.1,0.0,0.15000000000000002,1
20.2,13.25,8.1,4.85,8.8,11.100000000000001,0.95,1.65,0.05,0.0,0
20.2,14.75,8.1,4.5,8.8,8.899999999999999,0.95,1.25,0.05,0.0,0
20.2,14.25,8.1,6.0,8.8,9.45,0.95,1.25,0.05,0.1,0
20.2,12.5,8.1,4.75,8.8,11.899999999999999,0.95,1.65,0.05,0.15000000000000002,0
20.2,11.600000000000001,8.1,4.85,8.8,12.0,0.95,1.9500000000000002,0.05,0.15000000000000002,1
15.35,13.25,6.6,4.85,11.65,11.100000000000001,1.5499999999999998,1.65,0.05,0.0,0
15.35,14.75,6.6,4.5,11.65,8.899999999999999,1.5499999999999998,1.25,0.05,0.0,0
15.35,14.25,6.6,6.0,11.65,9.45,1.5499999999999998,1.25,0.05,0.1,0
15.35,12.5,6.6,4.75,11.65,11.899999999999999,1.5499999999999998,1.65,0.05,0.15000000000000002,1
15.35,15.8,6.6,6.2,11.65,9.0,1.5499999999999998,1.65,0.05,0.1,1
